size,computation_time_s,peak_mem_bytes,total_distance_m,distance_km,deliveries_covered,coverage_pct
100,3.7117199897766113,45691511,76370.82890232423,76.37082890232422,14,14.000000000000002
200,11.659676790237427,119422614,116108.2988817702,116.1082988817702,57,28.499999999999996
300,18.542410850524902,188904282,156234.39394804614,156.23439394804615,92,30.666666666666664
500,28.127392053604126,283465574,186539.33902091073,186.53933902091075,140,28.000000000000004
1000,51.36261510848999,512832590,186079.8965604145,186.07989656041448,257,25.7
