dataset,total_points,covered_points,covered_p1,covered_p2,covered_p3,distance_km,regions_selected,runtime_s,budget_mode,max_km_budget,corridor_km,num_slabs,top_k,W1,W2,W3,p1_ratio,p2_ratio,p3_ratio
Equal,1000,726,248,235,243,854.1063961168567,65,178.87990880012512,none,,6.5,16,,49.02,33.33,17.65,0.332,0.336,0.332
HighMajority,1000,731,393,180,158,909.1988346986708,75,180.58835983276367,none,,6.5,16,,48.76,33.5,17.74,0.527,0.257,0.216
LowMajority,1000,932,231,253,448,1242.2617745615494,80,229.19052410125732,none,,9.0,14,,49.02,33.33,17.65,0.242,0.274,0.484
