depot_pair,computation_time_s,memory_used_mb,distance_km,visited_nodes,delivery_points_covered,coverage_percentage
South to East,18.736907958984375,0.0,350.3859147005173,2344,296,29.599999999999998
Central to East,7.255321979522705,0.015625,203.17163166442396,1273,153,15.299999999999999
West to South,6.4478349685668945,0.046875,110.35241998589251,797,92,9.2
East to West,5.778758764266968,0.03125,222.20479882881722,1626,173,17.299999999999997
North to South,12.153125286102295,0.015625,531.8756360726899,3665,466,46.6
