size,computation_time,total_distance_m,distance_km,regions_count,deliveries_covered,coverage_percentage,avg_region_size,efficiency_deliv_per_km,memory_peak_mb,route_length,budget_km,budget_utilization_pct
100,11.937772989273071,138098.37011962148,138.09837011962148,6,47,47.0,7.833333333333333,0.34033710868048894,81.50410747528076,1092,79.79719853140553,173.06167717814122
200,22.32361078262329,201123.8855061289,201.1238855061289,15,99,49.5,6.6,0.49223392711843345,163.0666618347168,1681,119.79719853140553,167.8869689539552
300,29.617669105529785,268733.64759733103,268.733647597331,19,132,44.0,6.947368421052632,0.49119267788076937,220.72784423828125,2179,159.79719853140554,168.17168890762235
500,47.48801302909851,359728.44530501444,359.7284453050144,40,236,47.199999999999996,5.9,0.6560504265930239,372.5919380187988,3137,189.79719853140554,189.53306375883653
1000,97.32622790336609,535088.4335131544,535.0884335131544,63,468,46.800000000000004,7.428571428571429,0.8746217834074989,758.6690654754639,4429,189.79719853140554,281.9264128519863
