size,computation_time_s,peak_mem_bytes,total_distance_m,distance_km,deliveries_covered,coverage_pct
100,3.8493921756744385,45691511,76370.82890232423,76.37082890232422,14,14.000000000000002
200,12.025178909301758,119422614,116108.2988817702,116.1082988817702,57,28.499999999999996
300,18.905248880386353,188904282,156234.39394804614,156.23439394804615,92,30.666666666666664
500,28.442527294158936,283465574,186539.33902091073,186.53933902091075,140,28.000000000000004
1000,51.63117742538452,512832590,186079.8965604145,186.07989656041448,257,25.7
