start,end,distance_km,covered_count,coverage_pct,time_s,peak_mem_bytes,eff_deliveries_per_km,total_points
S,E,67.2806615295515,81,8.1,16.90183401107788,168813651,1.2039120626723119,1000
C,E,27.897157032043033,30,3.0,6.279851198196411,64180156,1.075378396642411,1000
W,S,84.46609738781409,74,7.4,13.9962899684906,156846862,0.8760911453057848,1000
E,W,35.50853285863894,51,5.1,8.324615001678467,86303382,1.4362744921913075,1000
N,S,104.39132244534288,122,12.2,11.467155933380127,116489090,1.1686795141797026,1000
