distribution,num_deliveries,depot,total_distance_m,runtime_s,memory_MB,high_priority_count,med_priority_count,low_priority_count,high_percentage,med_percentage,low_percentage
equal,1000,1591454838,507348.66531914735,62.12088990211487,1297.03125,343,320,337,34.300000000000004,32.0,33.7
high_dominance,1000,261210580,961874.7531238771,123.60351490974426,976.34375,508,241,251,50.8,24.099999999999998,25.1
med_dominance,1000,261219336,158631.2445869899,138.2624478340149,1000.296875,236,515,249,23.599999999999998,51.5,24.9
low_dominance,1000,261142151,67664.63593205356,145.59068393707275,1007.34375,234,275,491,23.400000000000002,27.500000000000004,49.1
