source_depot_name,source_node_id,destination_depot_name,destination_node_id,total_distance_m,runtime_s,memory_MB,nodes_visited,delivery_nodes_covered,route_node_ids
C,261210994,E,6683480310,320872.5589079356,17.88090682029724,1347.890625,310,307,"261210994,9742539435,261160540,537966113,261163877,4336210482,261250977,261214601,2334185555,12251286073,261154081,1309304255,12250988180,261144627,261144632,261144633,261272755,13034046173,261329693,386392515,261136274,261214463,261136279,5893262309,5893262308,261226560,261188049,261252959,261184669,261197729,261320183,261305488,261210526,261174101,261210528,2386576444,261200102,261200101,261163882,368378062,261337881,11741725334,261339674,261261006,256180894,261200175,11237475901,276585991,497400834,2922706597,261176019,7983444777,261114200,2065172127,3201026982,1699188904,261127035,261127063,414170951,261124276,261118284,468420076,1894144821,261276410,261118310,261115061,261219432,261145916,261207772,261175595,261163535,261165783,408478163,259745632,276584566,10844876294,261167222,367760230,2406355831,2895578933,1780111251,261137170,261176763,261192051,261152769,261127002,261261721,261270954,261308811,261127101,261127105,261188455,261159296,387569947,261224818,261340902,3629440695,261257095,261118876,261184495,716927534,261113570,261185661,261161796,261299620,261151323,261351598,261336059,261239927,261195000,261239922,5893620443,261252974,261228652,261336060,261107967,261177256,261177257,261204887,261204736,261173991,5893641609,469192210,261184831,261184827,261114664,3211939089,3211939067,716921063,261107163,261152054,261136220,9239285782,261173905,261173902,261180569,2876586211,261151281,261115104,261155409,261186287,261186290,261114821,261114811,261149497,261218366,261144568,261158745,261158738,261092372,261214230,261209797,261127018,261152681,261127070,261214316,6187316906,261177733,261222610,2412176137,261181281,261142347,261124964,261207343,261245789,261181287,261219507,12251458792,261160211,261351294,261142316,261142319,261154839,261224516,4334221327,261225694,261225697,261172739,261346679,261285080,261119353,261142334,261230188,261142330,261245765,261116221,261157059,261194026,261287193,261262379,10907403826,261128996,261173022,261203351,261117515,261136124,261245007,261194546,3210526568,261188496,375654102,375654579,261158700,261153745,261153746,261153744,261188483,261159277,12251388600,261271620,4961019084,261158036,261148598,261159303,261174939,261126819,261219419,2412356305,261189822,261120289,261152718,12250879871,261177869,261115686,261138992,4168390780,261157072,261224551,12202503917,261163766,387566459,387569527,261194556,261093229,715169512,261297754,2351674629,261212715,716923883,261149437,261214623,261149464,261199955,261144654,261173887,261199944,261149429,261110483,261149418,261214612,261200570,538000600,459959464,261185639,261149781,261188035,261226545,261302536,261302532,261302531,261214583,2420873556,261149445,2285851085,261114180,349885250,537982371,468418807,12695223035,537982536,261118810,2285851087,349880160,349849166,261240297,261110493,261348401,9239285746,261211635,261197687,261197691,261155416,261166211,261166215,261200140,261218381,261211654,2876584078,716919398,261180576,261180586,1833325887,261152084,261166226,261223459,261174915,261207353,718890232,401479121,261156510,718889537,261219389,261152799,261181776,261097225,261155703,261275624,358116545,6683480310,261210994"
S,261177307,E,6683480310,47184.221991287675,1.1609668731689453,1347.921875,22,19,"261177307,261234797,261137284,261168512,7221588911,614394783,766962961,766962943,261176804,261247614,261155711,261177717,261218438,12542669973,261207316,6683480310,261272161,261129009,261129011,4334407174,261234789,261177307"
W,11926065102,S,261177307,7699.524237242582,0.2964210510253906,1348.046875,6,5,"11926065102,261169124,261276975,261169131,8693882983,701660"
E,6683480310,W,11926065102,291031.2580928093,22.40109896659851,1348.046875,383,382,"6683480310,358116545,261275624,261155703,261346679,261172739,261225697,261225694,4334221327,261119353,261285080,261224516,261154839,261142319,261142316,261160211,261351294,12251458792,261219507,261181287,261245789,261124964,261207343,261219389,261152799,261142347,261181281,2412176137,261222610,261177733,6187316906,261214316,261127070,261127018,261209797,261214230,261158738,261158745,261092372,261144568,261114811,261149497,261218366,261223459,261166226,261155409,261186287,261186290,261114821,261151281,261115104,261155416,261166211,261166215,261200140,1079821467,261218394,261142151,261158804,261158802,261277487,261197440,261218381,261158772,261211654,2876584078,716919398,261197687,261211635,9239285746,261173905,261173902,261180569,2876586211,261199955,261149464,261214623,261149437,261212715,716923883,261199944,261149429,261185661,261161796,261299620,261151323,261351598,261336059,261239927,261195000,261239922,5893620443,261252974,261228652,261336060,261210528,261174101,261210526,261305488,261320183,261197729,261184669,261252959,261188049,261226560,261163882,368378062,261337881,11741725334,261339674,261261006,256180894,261200175,418457998,2293272240,261222150,261336591,261256913,261350104,261163877,537966113,261160540,261160545,9742539435,261223011,261319978,261271710,261149367,408459709,261120582,8632902381,3200955979,3270264064,261179927,261213373,418515348,418515193,261168969,261199405,261223179,6311878263,261199414,261168980,365187394,418448957,2565555090,261339647,261319337,261272739,2565516462,538528134,3632065705,727782501,3192234544,261163043,261163039,261198055,261116707,261223036,261174190,2457493772,261211673,261176124,261281696,1446792369,9532256328,261237955,261237961,261160860,261156736,261224746,261213393,261199237,1446789468,1446670183,261224737,11078290298,261121479,345098662,261121485,7895331009,261201828,261151777,261249754,261263641,733197990,261264099,261186007,261241181,3126905176,261143255,261123894,261159106,408445314,4332627045,261207094,261255837,261123916,13032367192,261157749,261288762,261302977,13032366928,261215999,261313000,408724408,261212933,315396330,261147141,261180889,261236527,845883350,261153015,315399426,261227160,261227530,261227532,482736042,261115417,845871141,460470935,838696685,261199744,261224629,261229798,261139175,261321163,261166479,261179359,261269764,261181632,261178035,261139076,838697050,261133884,261180654,2229102513,11001407098,261265080,261203113,261209756,261165905,261147727,261207121,261146920,261294995,2469389319,11249990430,261222123,261221623,261210211,261126443,311051894,261147098,261156192,261298543,314955767,261156203,261125666,261293511,261126484,409169155,261221609,256170566,289550288,261178101,4498984774,261293457,261286592,26703435,261200709,8178714820,261157786,261236482,261147075,261210165,261210164,261157755,261203069,261118564,261191252,261227487,261250154,261262790,261159081,8001350579,26704212,261157735,261200647,305910498,261269686,261146285,261141641,261132267,257110952,257110951,262162744,264415194,286900099,257168964,9971880126,261293478,261166399,261212877,26808044,4384635699,262224638,250279004,262170396,257972850,259575568,259575763,262172156,308430829,261210047,261166436,261178062,261115315,261115313,261115311,308441647,261321196,307940263,26794558,306046267,306046420,12244807465,261134265,261132195,6969680327,7645675838,261224240,261198950,264166660,261159066,261158090,2142141774,261140913,261105009,261346418,261158123,261195049,305902042,12236472764,158733099,261337303,261237401,7698977239,6162746801,261210243,601509443,261258174,2144893462,261229182,261230012,256170776,261165863,266720632,105254030,261309161,26791864,26792807,261091704,261171932,261321322,261201996,261201981,261179487,261179375,261158138,2152906402,261135156,261128047,261128043,261233985,261133828,261166497,1607674903,6369696595,261268487,6023980622,8693882983,701660"
